"","address","purpose1","purpose2","lon","lat"
"12933","서울특별시 서초구 서초동 1552-15","제1종근린생활시설","기타제1종근생활시설",127.0094167,37.4915272
"12934","서울특별시 서초구 서초동 1552-16","제2종근린생활시설","일반음식점",127.0096261,37.4915956
"12935","서울특별시 서초구 서초동 1552-18","제2종근린생활시설","일반음식점",127.0098672,37.4916671
"12936","서울특별시 서초구 서초동 1552-20","제2종근린생활시설","사무소",127.0098521,37.4915264
"12937","서울특별시 서초구 서초동 1552-21","제2종근린생활시설","사무소",127.0097614,37.4914562
"12938","서울특별시 서초구 서초동 1553-1","교육연구시설","기타교육연구시설",127.0088111,37.4918294
"12939","서울특별시 서초구 서초동 1553-3","업무시설","사무소",127.0091612,37.4918657
"12940","서울특별시 서초구 서초동 1553-5","업무시설","사무소",127.0096086,37.4919821
"12941","서울특별시 서초구 서초동 1553-13","제2종근린생활시설","사무소",127.0093488,37.4917861
"12942","서울특별시 서초구 서초동 1553-14","제2종근린생활시설","일반음식점",127.0092112,37.4917607
"12943","서울특별시 서초구 서초동 1553-15","업무시설","오피스텔",127.0090375,37.491643
"12944","서울특별시 서초구 서초동 1553-16","교육연구시설","학원",127.0088564,37.4916496
"12945","서울특별시 서초구 서초동 1554-1","제2종근린생활시설","사무소",127.009983,37.4922303
"12946","서울특별시 서초구 서초동 1554-2","업무시설","사무소",127.0103132,37.4923159
"12947","서울특별시 서초구 서초동 1554-4","업무시설","기타일반업무시설",127.0107167,37.4924175
"12948","서울특별시 서초구 서초동 1554-5","업무시설","사무소",127.0109881,37.4925
"12949","서울특별시 서초구 서초동 1554-8","업무시설","사무소",127.0110993,37.4923009
"12950","서울특별시 서초구 서초동 1554-9","업무시설","기타일반업무시설",127.010893,37.4922514
"12951","서울특별시 서초구 서초동 1554-10","업무시설","사무소",127.010753,37.4922349
"12952","서울특별시 서초구 서초동 1554-11","숙박시설","기타일반숙박시설",127.0106043,37.4921913
"12953","서울특별시 서초구 서초동 1554-12","숙박시설","여관",127.0104614,37.4921397
"12954","서울특별시 서초구 서초동 1554-13","업무시설","사무소",127.0103138,37.4920979
"12955","서울특별시 서초구 서초동 1554-14","업무시설","사무소",127.010179,37.4920292
"12956","서울특별시 서초구 서초동 1554-15","업무시설","사무소",127.0100528,37.4919966
"12957","서울특별시 서초구 서초동 1555-1","제2종근린생활시설","제2종근린생활시설",127.0101231,37.4917287
"12958","서울특별시 서초구 서초동 1555-2","제2종근린생활시설","일반음식점",127.0103281,37.4917862
"12959","서울특별시 서초구 서초동 1555-3","제2종근린생활시설","학원",127.0105702,37.491864
"12960","서울특별시 서초구 서초동 1555-5","제1종근린생활시설","의원",127.0102685,37.4915875
"12961","서울특별시 서초구 서초동 1555-6","제2종근린생활시설","사무소",127.0104482,37.4916845
"12962","서울특별시 서초구 서초동 1555-7","단독주택","다가구주택",127.0105929,37.4916903
"12963","서울특별시 서초구 서초동 1555-8","제2종근린생활시설","사무소",127.0107185,37.4917652
"12964","서울특별시 서초구 서초동 1555-9","제2종근린생활시설","일반음식점",127.0108538,37.4917961
"12965","서울특별시 서초구 서초동 1555-10","제2종근린생활시설","사무소",127.01102,37.4917983
"12966","서울특별시 서초구 서초동 1555-11","단독주택","단독주택",127.0109642,37.4919141
"12967","서울특별시 서초구 서초동 1555-12","제1종근린생활시설","기타제1종근생활시설",127.0109143,37.4920101
"12968","서울특별시 서초구 서초동 1555-13","제1종근린생활시설","소매점",127.0110932,37.4920828
"12969","서울특별시 서초구 서초동 1555-14","제2종근린생활시설","사무소",127.0111613,37.4919761
"12970","서울특별시 서초구 서초동 1555-16","제2종근린생활시설","사무소",127.0113671,37.4918887
"12971","서울특별시 서초구 서초동 1555-17","제2종근린생활시설","사무소",127.0113078,37.4920152
"12972","서울특별시 서초구 서초동 1555-18","제2종근린생활시설","사무소",127.0112622,37.4921248
"12973","서울특별시 서초구 서초동 1556-1","업무시설","사무소",127.0103901,37.4913696
"12974","서울특별시 서초구 서초동 1556-2","업무시설","사무소",127.0106859,37.4913243
"12975","서울특별시 서초구 서초동 1556-3","교육연구시설","학원",127.0109229,37.4914434
"12976","서울특별시 서초구 서초동 1556-4","교육연구시설","학원",127.0111571,37.4916058
"12977","서울특별시 서초구 서초동 1556-6","제2종근린생활시설","사무소",127.011223,37.4914144
"12978","서울특별시 서초구 서초동 1556-9","제1종근린생활시설","기타제1종근생활시설",127.0104869,37.4911487
"12979","서울특별시 서초구 서초동 1557-1","제2종근린생활시설","사무소",127.010625,37.4908832
"12980","서울특별시 서초구 서초동 1557-2","단독주택","다가구주택",127.0107078,37.4907794
